Order_ID,Order_Date,Product,Category,Region,Quantity,Sales,Profit
ORD0044,2025-08-28,Laptop,Electronics,North,6,330000.0,39600.0
ORD0045,2025-07-26,Backpack,Accessories,South,1,1800.0,360.0
ORD0046,2025-04-08,Monitor,Electronics,South,2,27000.0,3510.0
ORD0047,2025-05-23,Monitor,Electronics,West,2,30000.0,3900.0
ORD0048,2025-10-09,Smartphone,Electronics,North,1,28000.0,2800.0
ORD0049,2025-05-02,Headphones,Electronics,West,4,9000.0,1620.0
ORD0050,2025-04-20,Keyboard,Accessories,West,1,2200.0,374.0
ORD0051,2025-01-02,Keyboard,Accessories,East,3,5940.0,1009.8
ORD0052,2025-08-05,Monitor,Electronics,East,2,30000.0,3900.0
ORD0053,2025-04-22,Laptop,Electronics,East,5,275000.0,33000.0
ORD0054,2025-01-30,Laptop,Electronics,South,5,247500.0,29700.0
ORD0055,2025-01-30,Smartphone,Electronics,North,2,56000.0,5600.0
ORD0056,2025-12-12,Office Chair,Furniture,South,4,28000.0,3920.0
ORD0057,2025-10-24,Laptop,Electronics,West,5,275000.0,33000.0
ORD0058,2025-12-03,Backpack,Accessories,East,3,5400.0,1080.0
ORD0059,2025-05-03,Desk,Furniture,East,4,48000.0,5280.0
ORD0060,2025-08-23,Backpack,Accessories,West,1,1800.0,360.0
ORD0061,2025-11-15,Smartphone,Electronics,East,1,28000.0,2800.0
ORD0062,2025-03-09,Backpack,Accessories,East,1,1800.0,360.0
ORD0063,2025-05-26,Headphones,Electronics,North,4,9500.0,1710.0
ORD0064,2025-12-08,Desk,Furniture,South,6,72000.0,7920.0
ORD0065,2025-05-16,Smartphone,Electronics,East,1,28000.0,2800.0
ORD0066,2025-05-25,Office Chair,Furniture,South,6,39900.0,5586.0
ORD0067,2025-12-18,Desk,Furniture,East,5,54000.0,5940.0
ORD0068,2025-01-27,Smartphone,Electronics,East,6,151200.0,15120.0
ORD0069,2025-01-23,Laptop,Electronics,East,3,165000.0,19800.0
ORD0070,2025-03-24,Monitor,Electronics,North,5,67500.0,8775.0
ORD0071,2025-02-27,Smartphone,Electronics,North,6,168000.0,16800.0
ORD0072,2025-07-09,Headphones,Electronics,North,4,10000.0,1800.0
ORD0073,2025-06-07,Backpack,Accessories,South,1,1710.0,342.0
ORD0074,2025-12-16,Office Chair,Furniture,East,6,42000.0,5880.0
ORD0075,2025-10-14,Keyboard,Accessories,South,5,11000.0,1870.0
ORD0076,2025-03-25,Headphones,Electronics,South,4,10000.0,1800.0
ORD0077,2025-06-20,Keyboard,Accessories,East,6,13200.0,2244.0
ORD0078,2025-03-23,Smartphone,Electronics,West,4,112000.0,11200.0
ORD0079,2025-04-24,Office Chair,Furniture,East,4,26600.0,3724.0
ORD0080,2025-04-27,Office Chair,Furniture,West,1,7000.0,980.0
ORD0081,2025-06-18,Desk,Furniture,East,1,11400.0,1254.0
ORD0082,2025-11-25,Keyboard,Accessories,North,6,12540.0,2131.8
ORD0083,2025-03-01,Desk,Furniture,North,2,22800.0,2508.0
ORD0084,2025-02-25,Keyboard,Accessories,West,3,6270.0,1065.9
ORD0085,2025-11-07,Smartphone,Electronics,East,4,112000.0,11200.0
ORD0086,2025-01-23,Keyboard,Accessories,East,1,2200.0,374.0
ORD0087,2025-08-09,Smartphone,Electronics,East,6,159600.0,15960.0
ORD0088,2025-12-06,Smartphone,Electronics,East,6,159600.0,15960.0
ORD0089,2025-12-08,Keyboard,Accessories,East,3,5940.0,1009.8
ORD0090,2025-10-11,Headphones,Electronics,West,2,4500.0,810.0
ORD0091,2025-12-13,Headphones,Electronics,West,5,11875.0,2137.5
ORD0092,2025-10-08,Laptop,Electronics,South,3,156750.0,18810.0
ORD0093,2025-08-09,Backpack,Accessories,West,4,6480.0,1296.0
ORD0094,2025-12-12,Office Chair,Furniture,South,5,31500.0,4410.0
ORD0095,2025-12-04,Smartphone,Electronics,North,3,79800.0,7980.0
ORD0096,2025-05-01,Desk,Furniture,South,2,24000.0,2640.0
ORD0097,2025-01-13,Laptop,Electronics,North,2,99000.0,11880.0
ORD0098,2025-08-22,Keyboard,Accessories,West,6,13200.0,2244.0
ORD0099,2025-09-11,Keyboard,Accessories,North,2,4400.0,748.0
ORD0100,2025-02-24,Keyboard,Accessories,West,2,4400.0,748.0
ORD0101,2025-01-26,Office Chair,Furniture,South,1,6300.0,882.0
ORD0102,2025-08-26,Backpack,Accessories,West,4,6480.0,1296.0
ORD0103,2025-03-23,Monitor,Electronics,South,4,57000.0,7410.0
ORD0104,2025-11-23,Desk,Furniture,South,5,54000.0,5940.0
ORD0105,2025-05-21,Monitor,Electronics,South,1,14250.0,1852.5
ORD0106,2025-05-20,Backpack,Accessories,South,3,5400.0,1080.0
ORD0107,2025-03-19,Office Chair,Furniture,South,4,28000.0,3920.0
ORD0108,2025-02-02,Keyboard,Accessories,West,4,8360.0,1421.2
ORD0109,2025-08-01,Laptop,Electronics,West,2,99000.0,11880.0
ORD0110,2025-10-27,Laptop,Electronics,West,5,247500.0,29700.0
ORD0111,2025-01-04,Backpack,Accessories,West,3,4860.0,972.0
ORD0112,2025-10-03,Office Chair,Furniture,East,4,28000.0,3920.0
ORD0113,2025-08-12,Monitor,Electronics,East,1,13500.0,1755.0
ORD0114,2025-12-09,Keyboard,Accessories,West,6,13200.0,2244.0
ORD0115,2025-03-07,Laptop,Electronics,North,4,220000.0,26400.0
ORD0116,2025-11-26,Keyboard,Accessories,South,2,3960.0,673.2
ORD0117,2025-01-26,Desk,Furniture,South,4,45600.0,5016.0
ORD0118,2025-08-21,Backpack,Accessories,East,3,4860.0,972.0
ORD0119,2025-08-04,Desk,Furniture,North,1,10800.0,1188.0
ORD0120,2025-10-04,Laptop,Electronics,North,3,165000.0,19800.0
ORD0121,2025-11-30,Laptop,Electronics,South,1,55000.0,6600.0
ORD0122,2025-01-11,Headphones,Electronics,West,2,5000.0,900.0
ORD0123,2025-12-09,Smartphone,Electronics,West,5,140000.0,14000.0
ORD0124,2025-12-25,Desk,Furniture,North,3,36000.0,3960.0
ORD0125,2025-03-25,Desk,Furniture,East,1,12000.0,1320.0
ORD0126,2025-10-22,Keyboard,Accessories,North,4,8800.0,1496.0
ORD0127,2025-10-31,Office Chair,Furniture,North,1,6650.0,931.0
ORD0128,2025-10-17,Laptop,Electronics,East,3,148500.0,17820.0
ORD0129,2025-02-05,Backpack,Accessories,West,1,1620.0,324.0
ORD0130,2025-02-24,Keyboard,Accessories,South,3,5940.0,1009.8
ORD0131,2025-08-11,Headphones,Electronics,West,6,14250.0,2565.0
ORD0132,2025-08-27,Keyboard,Accessories,East,6,12540.0,2131.8
ORD0133,2025-05-06,Smartphone,Electronics,South,3,75600.0,7560.0
ORD0134,2025-08-26,Keyboard,Accessories,West,3,6600.0,1122.0
ORD0135,2025-06-16,Headphones,Electronics,East,4,10000.0,1800.0
ORD0136,2025-05-13,Backpack,Accessories,North,3,5130.0,1026.0
ORD0137,2025-09-22,Office Chair,Furniture,West,1,7000.0,980.0
ORD0138,2025-09-08,Office Chair,Furniture,West,6,37800.0,5292.0
ORD0139,2025-08-18,Laptop,Electronics,South,1,52250.0,6270.0
ORD0140,2025-07-27,Office Chair,Furniture,West,3,19950.0,2793.0
ORD0141,2025-10-11,Backpack,Accessories,East,4,6840.0,1368.0
ORD0142,2025-12-26,Monitor,Electronics,East,3,42750.0,5557.5
ORD0143,2025-04-29,Smartphone,Electronics,East,6,168000.0,16800.0
ORD0144,2025-03-03,Headphones,Electronics,West,2,5000.0,900.0
ORD0145,2025-05-22,Desk,Furniture,East,1,12000.0,1320.0
ORD0146,2025-04-27,Backpack,Accessories,North,2,3420.0,684.0
ORD0147,2025-12-29,Headphones,Electronics,North,3,7500.0,1350.0
ORD0148,2025-10-11,Desk,Furniture,West,6,72000.0,7920.0
ORD0149,2025-02-22,Laptop,Electronics,West,5,261250.0,31350.0
ORD0150,2025-09-03,Monitor,Electronics,North,3,45000.0,5850.0
ORD0151,2025-05-10,Monitor,Electronics,West,1,15000.0,1950.0
ORD0152,2025-09-09,Smartphone,Electronics,South,5,140000.0,14000.0
ORD0153,2025-03-18,Desk,Furniture,North,1,12000.0,1320.0
ORD0154,2025-10-13,Keyboard,Accessories,West,5,11000.0,1870.0
ORD0155,2025-08-19,Monitor,Electronics,East,3,40500.0,5265.0
ORD0156,2025-10-19,Laptop,Electronics,South,5,275000.0,33000.0
ORD0157,2025-11-17,Office Chair,Furniture,South,3,21000.0,2940.0
ORD0158,2025-05-03,Headphones,Electronics,South,5,12500.0,2250.0
ORD0159,2025-01-02,Keyboard,Accessories,East,4,7920.0,1346.4
ORD0160,2025-01-17,Office Chair,Furniture,West,3,19950.0,2793.0
ORD0161,2025-02-06,Office Chair,Furniture,West,3,21000.0,2940.0
ORD0162,2025-02-28,Office Chair,Furniture,East,6,42000.0,5880.0
ORD0163,2025-03-14,Smartphone,Electronics,East,1,28000.0,2800.0
ORD0164,2025-11-01,Desk,Furniture,West,4,48000.0,5280.0
ORD0165,2025-12-19,Desk,Furniture,East,6,64800.0,7128.0
ORD0166,2025-09-14,Monitor,Electronics,North,4,60000.0,7800.0
ORD0167,2025-08-10,Backpack,Accessories,North,5,8550.0,1710.0
ORD0168,2025-02-16,Office Chair,Furniture,East,6,42000.0,5880.0
ORD0169,2025-10-23,Laptop,Electronics,West,2,99000.0,11880.0
ORD0170,2025-05-23,Headphones,Electronics,West,5,11250.0,2025.0
ORD0171,2025-02-16,Monitor,Electronics,East,3,40500.0,5265.0
ORD0172,2025-06-14,Smartphone,Electronics,West,2,53200.0,5320.0
ORD0173,2025-12-22,Monitor,Electronics,North,3,40500.0,5265.0
ORD0174,2025-08-21,Smartphone,Electronics,East,3,79800.0,7980.0
ORD0175,2025-03-01,Keyboard,Accessories,West,5,11000.0,1870.0
ORD0176,2025-07-31,Laptop,Electronics,West,2,104500.0,12540.0
ORD0177,2025-11-17,Monitor,Electronics,East,1,15000.0,1950.0
ORD0178,2025-10-09,Headphones,Electronics,West,3,6750.0,1215.0
ORD0179,2025-03-04,Laptop,Electronics,South,6,330000.0,39600.0
ORD0180,2025-06-09,Laptop,Electronics,North,5,247500.0,29700.0
ORD0181,2025-04-26,Smartphone,Electronics,South,4,112000.0,11200.0
ORD0182,2025-09-13,Desk,Furniture,West,5,57000.0,6270.0
ORD0183,2025-09-05,Monitor,Electronics,South,2,27000.0,3510.0
ORD0184,2025-07-16,Office Chair,Furniture,North,5,35000.0,4900.0
ORD0185,2025-05-22,Keyboard,Accessories,North,3,6270.0,1065.9
ORD0186,2025-05-25,Desk,Furniture,South,5,54000.0,5940.0
ORD0187,2025-08-17,Monitor,Electronics,West,3,42750.0,5557.5
ORD0188,2025-08-22,Backpack,Accessories,West,2,3600.0,720.0
ORD0189,2025-04-30,Keyboard,Accessories,West,1,2090.0,355.3
ORD0190,2025-12-28,Keyboard,Accessories,West,4,8800.0,1496.0
ORD0191,2025-01-19,Headphones,Electronics,North,5,11875.0,2137.5
ORD0192,2025-08-14,Smartphone,Electronics,North,5,126000.0,12600.0
ORD0193,2025-03-15,Keyboard,Accessories,North,6,13200.0,2244.0
ORD0194,2025-08-29,Desk,Furniture,North,3,32400.0,3564.0
ORD0195,2025-06-18,Keyboard,Accessories,North,3,5940.0,1009.8
ORD0196,2025-11-13,Smartphone,Electronics,South,2,53200.0,5320.0
ORD0197,2025-02-16,Keyboard,Accessories,West,1,2200.0,374.0
ORD0198,2025-03-27,Desk,Furniture,East,1,12000.0,1320.0
ORD0199,2025-01-29,Desk,Furniture,West,3,34200.0,3762.0
ORD0200,2025-03-16,Office Chair,Furniture,South,5,31500.0,4410.0
ORD0201,2025-03-29,Headphones,Electronics,South,1,2250.0,405.0
ORD0202,2025-09-12,Headphones,Electronics,East,2,4500.0,810.0
ORD0203,2025-08-24,Desk,Furniture,West,6,72000.0,7920.0
ORD0204,2025-05-28,Headphones,Electronics,East,1,2250.0,405.0
ORD0205,2025-10-28,Desk,Furniture,East,6,64800.0,7128.0
ORD0206,2025-08-22,Desk,Furniture,West,2,21600.0,2376.0
ORD0207,2025-02-24,Office Chair,Furniture,East,4,26600.0,3724.0
ORD0208,2025-12-25,Desk,Furniture,East,1,10800.0,1188.0
ORD0209,2025-01-05,Laptop,Electronics,East,5,247500.0,29700.0
ORD0210,2025-04-28,Backpack,Accessories,East,2,3600.0,720.0
ORD0211,2025-12-14,Headphones,Electronics,North,6,15000.0,2700.0
ORD0212,2025-06-08,Monitor,Electronics,South,1,14250.0,1852.5
ORD0213,2025-02-16,Desk,Furniture,South,3,32400.0,3564.0
ORD0214,2025-04-13,Headphones,Electronics,East,5,11875.0,2137.5
ORD0215,2025-03-26,Desk,Furniture,East,4,45600.0,5016.0
ORD0216,2025-02-28,Monitor,Electronics,South,1,15000.0,1950.0
ORD0217,2025-12-13,Keyboard,Accessories,North,5,10450.0,1776.5
ORD0218,2025-07-22,Laptop,Electronics,West,3,165000.0,19800.0
ORD0219,2025-07-08,Desk,Furniture,East,5,54000.0,5940.0
ORD0220,2025-02-25,Office Chair,Furniture,East,4,28000.0,3920.0
ORD0221,2025-11-09,Office Chair,Furniture,West,6,42000.0,5880.0
ORD0222,2025-12-25,Desk,Furniture,North,6,64800.0,7128.0
ORD0223,2025-03-13,Laptop,Electronics,West,1,52250.0,6270.0
ORD0224,2025-03-01,Smartphone,Electronics,West,2,56000.0,5600.0
ORD0225,2025-08-21,Backpack,Accessories,South,6,9720.0,1944.0
ORD0226,2025-08-01,Smartphone,Electronics,East,4,100800.0,10080.0
ORD0227,2025-01-17,Backpack,Accessories,West,2,3240.0,648.0
ORD0228,2025-05-01,Backpack,Accessories,East,1,1710.0,342.0
ORD0229,2025-02-01,Keyboard,Accessories,North,3,6600.0,1122.0
ORD0230,2025-08-21,Smartphone,Electronics,North,6,168000.0,16800.0
ORD0231,2025-01-26,Backpack,Accessories,South,2,3600.0,720.0
ORD0232,2025-02-05,Office Chair,Furniture,South,5,35000.0,4900.0
ORD0233,2025-06-18,Headphones,Electronics,East,5,12500.0,2250.0
ORD0234,2025-03-16,Headphones,Electronics,South,5,11875.0,2137.5
ORD0235,2025-02-26,Laptop,Electronics,East,2,110000.0,13200.0
ORD0236,2025-05-02,Backpack,Accessories,East,1,1800.0,360.0
ORD0237,2025-01-27,Headphones,Electronics,North,6,13500.0,2430.0
ORD0238,2025-02-02,Monitor,Electronics,North,4,57000.0,7410.0
ORD0239,2025-08-20,Office Chair,Furniture,East,5,35000.0,4900.0
ORD0240,2025-08-23,Laptop,Electronics,West,1,49500.0,5940.0
ORD0241,2025-08-07,Smartphone,Electronics,North,4,100800.0,10080.0
ORD0242,2025-02-11,Backpack,Accessories,North,5,9000.0,1800.0
ORD0243,2025-03-06,Desk,Furniture,West,5,57000.0,6270.0
ORD0244,2025-11-02,Desk,Furniture,North,4,43200.0,4752.0
ORD0245,2025-12-26,Smartphone,Electronics,West,6,168000.0,16800.0
ORD0246,2025-08-20,Office Chair,Furniture,West,4,26600.0,3724.0
ORD0247,2025-07-24,Keyboard,Accessories,East,6,13200.0,2244.0
ORD0248,2025-08-07,Backpack,Accessories,East,6,10260.0,2052.0
ORD0249,2025-03-20,Monitor,Electronics,North,1,15000.0,1950.0
ORD0250,2025-02-17,Keyboard,Accessories,South,1,2090.0,355.3
ORD0251,2025-10-12,Laptop,Electronics,North,5,261250.0,31350.0
ORD0252,2025-07-30,Backpack,Accessories,North,6,9720.0,1944.0
ORD0253,2025-05-28,Desk,Furniture,South,3,36000.0,3960.0
ORD0254,2025-03-21,Monitor,Electronics,East,2,30000.0,3900.0
ORD0255,2025-10-12,Backpack,Accessories,South,1,1710.0,342.0
ORD0256,2025-08-08,Laptop,Electronics,North,5,261250.0,31350.0
ORD0257,2025-04-03,Desk,Furniture,East,6,68400.0,7524.0
ORD0258,2025-06-29,Laptop,Electronics,West,2,110000.0,13200.0
ORD0259,2025-02-05,Headphones,Electronics,North,6,15000.0,2700.0
ORD0260,2025-09-29,Office Chair,Furniture,West,4,25200.0,3528.0
ORD0261,2025-06-24,Headphones,Electronics,East,3,7125.0,1282.5
ORD0262,2025-10-18,Smartphone,Electronics,South,1,28000.0,2800.0
ORD0263,2025-11-13,Laptop,Electronics,East,6,330000.0,39600.0
ORD0264,2025-08-15,Keyboard,Accessories,West,4,7920.0,1346.4
ORD0265,2025-05-20,Office Chair,Furniture,East,5,35000.0,4900.0
ORD0266,2025-08-09,Smartphone,Electronics,East,3,75600.0,7560.0
ORD0267,2025-01-24,Office Chair,Furniture,North,4,28000.0,3920.0
ORD0268,2025-04-15,Desk,Furniture,East,2,24000.0,2640.0
ORD0269,2025-05-29,Backpack,Accessories,West,1,1800.0,360.0
ORD0270,2025-08-09,Headphones,Electronics,South,2,4500.0,810.0
ORD0271,2025-09-14,Backpack,Accessories,North,1,1620.0,324.0
ORD0272,2025-08-12,Laptop,Electronics,East,4,220000.0,26400.0
ORD0273,2025-10-22,Keyboard,Accessories,West,5,9900.0,1683.0
ORD0274,2025-05-29,Smartphone,Electronics,East,4,112000.0,11200.0
ORD0275,2025-03-29,Monitor,Electronics,North,6,85500.0,11115.0
ORD0276,2025-08-12,Smartphone,Electronics,West,2,50400.0,5040.0
ORD0277,2025-09-26,Smartphone,Electronics,East,4,106400.0,10640.0
ORD0278,2025-04-24,Backpack,Accessories,North,2,3600.0,720.0
ORD0279,2025-09-29,Office Chair,Furniture,South,3,19950.0,2793.0
ORD0280,2025-05-01,Smartphone,Electronics,South,2,53200.0,5320.0
ORD0281,2025-03-30,Headphones,Electronics,South,6,15000.0,2700.0
ORD0282,2025-11-18,Monitor,Electronics,East,4,54000.0,7020.0
ORD0283,2025-11-18,Backpack,Accessories,North,2,3240.0,648.0
ORD0284,2025-08-29,Monitor,Electronics,East,6,85500.0,11115.0
ORD0285,2025-10-30,Laptop,Electronics,East,3,165000.0,19800.0
ORD0286,2025-08-25,Monitor,Electronics,East,1,15000.0,1950.0
ORD0287,2025-05-27,Smartphone,Electronics,West,6,168000.0,16800.0
ORD0288,2025-08-25,Laptop,Electronics,East,4,220000.0,26400.0
ORD0289,2025-11-06,Monitor,Electronics,North,5,75000.0,9750.0
ORD0290,2025-08-19,Smartphone,Electronics,South,3,84000.0,8400.0
ORD0291,2025-01-21,Office Chair,Furniture,West,6,37800.0,5292.0
ORD0292,2025-09-26,Headphones,Electronics,East,3,7125.0,1282.5
ORD0293,2025-07-18,Keyboard,Accessories,East,3,6600.0,1122.0
ORD0294,2025-02-03,Backpack,Accessories,East,1,1620.0,324.0
ORD0295,2025-05-10,Headphones,Electronics,South,3,7500.0,1350.0
ORD0296,2025-06-29,Desk,Furniture,South,6,64800.0,7128.0
ORD0297,2025-11-01,Smartphone,Electronics,East,3,75600.0,7560.0
ORD0298,2025-03-07,Smartphone,Electronics,East,6,151200.0,15120.0
ORD0299,2025-01-10,Backpack,Accessories,South,3,5400.0,1080.0
ORD0300,2025-06-24,Monitor,Electronics,South,2,30000.0,3900.0
ORD0301,2025-03-21,Smartphone,Electronics,North,3,84000.0,8400.0
ORD0302,2025-12-05,Backpack,Accessories,West,5,9000.0,1800.0
ORD0303,2025-03-20,Headphones,Electronics,West,2,5000.0,900.0
ORD0304,2025-01-23,Keyboard,Accessories,West,3,6600.0,1122.0
ORD0305,2025-11-09,Desk,Furniture,South,6,64800.0,7128.0
ORD0306,2025-10-01,Office Chair,Furniture,South,3,18900.0,2646.0
ORD0307,2025-07-08,Monitor,Electronics,West,4,57000.0,7410.0
ORD0308,2025-09-15,Keyboard,Accessories,South,2,4400.0,748.0
ORD0309,2025-05-09,Laptop,Electronics,East,6,297000.0,35640.0
ORD0310,2025-10-11,Smartphone,Electronics,East,6,168000.0,16800.0
ORD0311,2025-02-12,Headphones,Electronics,South,3,6750.0,1215.0
ORD0312,2025-08-12,Smartphone,Electronics,East,2,50400.0,5040.0
ORD0313,2025-01-14,Keyboard,Accessories,East,1,1980.0,336.6
ORD0314,2025-05-01,Keyboard,Accessories,South,1,2090.0,355.3
ORD0315,2025-01-15,Backpack,Accessories,South,1,1710.0,342.0
ORD0316,2025-03-12,Laptop,Electronics,South,3,148500.0,17820.0
ORD0317,2025-12-28,Monitor,Electronics,North,4,60000.0,7800.0
ORD0318,2025-01-10,Desk,Furniture,West,2,24000.0,2640.0
ORD0319,2025-02-26,Desk,Furniture,North,2,22800.0,2508.0
ORD0320,2025-01-25,Office Chair,Furniture,North,4,25200.0,3528.0
ORD0321,2025-02-26,Monitor,Electronics,South,5,75000.0,9750.0
ORD0322,2025-03-15,Desk,Furniture,East,4,48000.0,5280.0
ORD0323,2025-05-04,Keyboard,Accessories,East,2,4400.0,748.0
ORD0324,2025-02-04,Laptop,Electronics,North,4,198000.0,23760.0
ORD0325,2025-11-22,Keyboard,Accessories,North,3,6270.0,1065.9
ORD0326,2025-07-02,Smartphone,Electronics,North,3,84000.0,8400.0
ORD0327,2025-10-25,Backpack,Accessories,East,2,3600.0,720.0
ORD0328,2025-10-07,Backpack,Accessories,West,6,10800.0,2160.0
ORD0329,2025-12-23,Monitor,Electronics,South,6,90000.0,11700.0
ORD0330,2025-02-02,Monitor,Electronics,South,1,14250.0,1852.5
ORD0331,2025-01-23,Office Chair,Furniture,East,1,6650.0,931.0
ORD0332,2025-09-21,Keyboard,Accessories,East,5,9900.0,1683.0
ORD0333,2025-01-19,Office Chair,Furniture,North,3,19950.0,2793.0
ORD0334,2025-12-02,Backpack,Accessories,East,3,5400.0,1080.0
ORD0335,2025-08-12,Keyboard,Accessories,West,6,11880.0,2019.6
ORD0336,2025-06-23,Headphones,Electronics,East,4,9000.0,1620.0
ORD0337,2025-09-23,Desk,Furniture,North,1,10800.0,1188.0
ORD0338,2025-08-09,Headphones,Electronics,East,5,11875.0,2137.5
ORD0339,2025-02-22,Smartphone,Electronics,East,3,79800.0,7980.0
ORD0340,2025-08-17,Keyboard,Accessories,East,2,3960.0,673.2
ORD0341,2025-08-17,Laptop,Electronics,West,6,313500.0,37620.0
ORD0342,2025-05-21,Laptop,Electronics,East,1,49500.0,5940.0
ORD0343,2025-09-20,Headphones,Electronics,West,1,2500.0,450.0
ORD0344,2025-01-18,Headphones,Electronics,East,1,2500.0,450.0
ORD0345,2025-07-05,Keyboard,Accessories,South,5,11000.0,1870.0
ORD0346,2025-12-14,Monitor,Electronics,West,3,42750.0,5557.5
ORD0347,2025-02-09,Headphones,Electronics,West,5,11875.0,2137.5
ORD0348,2025-06-10,Desk,Furniture,North,2,24000.0,2640.0
ORD0349,2025-04-06,Monitor,Electronics,North,5,67500.0,8775.0
ORD0350,2025-05-15,Desk,Furniture,South,6,64800.0,7128.0
ORD0351,2025-11-10,Desk,Furniture,South,6,64800.0,7128.0
ORD0352,2025-03-04,Headphones,Electronics,South,1,2250.0,405.0
ORD0353,2025-08-16,Smartphone,Electronics,East,6,159600.0,15960.0
ORD0354,2025-12-30,Smartphone,Electronics,East,5,133000.0,13300.0
ORD0355,2025-03-22,Headphones,Electronics,North,3,7500.0,1350.0
ORD0356,2025-04-13,Headphones,Electronics,North,2,4500.0,810.0
ORD0357,2025-07-04,Backpack,Accessories,North,4,7200.0,1440.0
ORD0358,2025-02-03,Desk,Furniture,West,4,43200.0,4752.0
ORD0359,2025-07-29,Smartphone,Electronics,North,2,53200.0,5320.0
ORD0360,2025-08-19,Monitor,Electronics,South,6,85500.0,11115.0
ORD0361,2025-10-10,Headphones,Electronics,North,2,4500.0,810.0
ORD0362,2025-03-05,Headphones,Electronics,South,3,7500.0,1350.0
ORD0363,2025-06-15,Office Chair,Furniture,North,3,19950.0,2793.0
ORD0364,2025-05-09,Office Chair,Furniture,South,6,39900.0,5586.0
ORD0365,2025-11-17,Desk,Furniture,South,5,60000.0,6600.0
ORD0366,2025-10-31,Headphones,Electronics,North,2,4750.0,855.0
ORD0367,2025-01-15,Smartphone,Electronics,South,1,26600.0,2660.0
ORD0368,2025-10-20,Keyboard,Accessories,West,5,11000.0,1870.0
ORD0369,2025-11-18,Desk,Furniture,West,6,68400.0,7524.0
ORD0370,2025-05-06,Keyboard,Accessories,North,3,5940.0,1009.8
ORD0371,2025-12-19,Laptop,Electronics,West,2,99000.0,11880.0
ORD0372,2025-09-05,Monitor,Electronics,South,2,28500.0,3705.0
ORD0373,2025-06-10,Backpack,Accessories,West,6,10260.0,2052.0
ORD0374,2025-03-08,Backpack,Accessories,East,5,9000.0,1800.0
ORD0375,2025-05-04,Monitor,Electronics,West,1,14250.0,1852.5
